,states,x,y
0,Alaska,-134,90
1,Arkansas,-134,90
2,California,-134,90
3,Colorado,-134,90
4,Connecticut,-134,90
5,Delaware,-134,90
6,Florida,-134,90
7,Georgia,-134,90
8,Hawaii,-134,90
9,Idaho,-134,90
10,Illinois,-134,90
11,Indiana,-134,90
12,Iowa,-134,90
13,Kansas,-134,90
14,Kentucky,-134,90
15,Louisiana,-134,90
16,Maine,-134,90
17,Maryland,-134,90
18,Massachusetts,-134,90
19,Michigan,-134,90
20,Minnesota,-134,90
21,Mississippi,-134,90
22,Missouri,-134,90
23,Montana,-134,90
24,Nebraska,-134,90
25,Nevada,-134,90
26,New Hampshire,-134,90
27,New Jersey,-134,90
28,New Mexico,-134,90
29,New York,-134,90
30,North Carolina,-134,90
31,North Dakota,-134,90
32,Ohio,-134,90
33,Oklahoma,-134,90
34,Oregon,-134,90
35,Pennsylvania,-134,90
36,Rhode Island,-134,90
37,South Carolina,-134,90
38,South Dakota,-134,90
39,Tennessee,-134,90
40,Utah,-134,90
41,Vermont,-134,90
42,Virginia,-134,90
43,Washington,-134,90
44,West Virginia,-134,90
45,Wisconsin,-134,90
46,Wyoming,-134,90
